Moisture,EC,Soil_Temperature,N,P,K,Soil_Type,N_Class,P_Class,K_Class
26.37,1.31,23.14,59.92,39.09,56.98,Sandy,Medium,Medium,High
19.89,1.25,27.01,65.1,54.3,53.75,Clay,High,Medium,Medium
7.32,3.33,35.16,90.98,75.0,80.44,Clay,High,High,High
26.28,1.39,34.97,63.77,48.94,59.9,Peaty,Medium,Medium,High
50.72,2.83,23.02,93.4,45.5,76.91,Sandy,High,Medium,High
70.68,1.68,38.29,73.54,57.28,67.67,Silty,High,High,High
65.98,0.92,31.04,62.03,56.67,59.56,Sandy,Medium,High,High
58.62,0.53,26.36,70.01,45.71,63.91,Peaty,High,Medium,High
60.19,2.13,29.04,88.36,49.11,70.17,Peaty,High,Medium,High
51.55,3.43,31.31,83.61,72.16,78.91,Sandy,High,High,High
23.22,1.61,30.32,73.82,64.85,66.44,Peaty,High,High,High
68.5,1.57,28.7,73.58,54.71,64.68,Sandy,High,Medium,High
51.95,1.53,29.11,78.77,44.0,75.28,Loamy,High,Medium,High
44.23,2.06,21.88,70.46,50.04,66.37,Sandy,High,Medium,High
12.77,1.82,35.88,62.74,53.29,73.4,Sandy,Medium,Medium,High
36.29,3.14,29.92,92.73,58.9,74.81,Peaty,High,High,High
37.23,2.02,20.88,73.07,59.36,76.72,Peaty,High,High,High
65.52,2.02,34.86,81.68,57.76,82.58,Clay,High,High,High
43.27,0.92,38.51,69.62,56.3,55.27,Clay,High,High,High
31.63,3.45,38.84,91.02,69.01,77.48,Loamy,High,High,High
73.38,1.25,26.12,73.47,62.57,63.56,Clay,High,High,High
12.75,0.72,20.98,51.5,39.26,53.67,Sandy,Medium,Medium,Medium
34.58,2.49,29.4,84.16,59.0,85.37,Peaty,High,High,High
7.94,2.29,20.48,86.08,48.44,72.24,Clay,High,Medium,High
56.79,1.75,38.55,72.33,63.65,74.64,Clay,High,High,High
69.27,1.77,22.04,86.18,55.96,68.24,Loamy,High,High,High
24.6,2.86,23.56,86.11,53.65,79.67,Loamy,High,Medium,High
65.08,1.09,26.95,54.23,51.51,55.25,Sandy,Medium,Medium,High
25.46,2.96,26.43,86.07,64.55,93.47,Peaty,High,High,High
68.75,2.45,35.48,97.72,64.6,76.14,Loamy,High,High,High
57.78,1.76,28.04,80.17,67.35,78.32,Clay,High,High,High
61.34,1.87,21.76,94.26,59.03,85.19,Peaty,High,High,High
6.26,1.27,23.88,49.66,36.67,63.13,Peaty,Medium,Medium,High
72.4,2.76,29.2,89.75,75.0,82.2,Clay,High,High,High
55.87,2.04,21.24,92.48,64.14,64.58,Loamy,High,High,High
26.33,1.46,31.46,81.19,63.33,69.83,Clay,High,High,High
63.06,2.29,30.45,80.19,66.19,80.78,Peaty,High,High,High
24.71,3.49,33.72,88.31,46.18,92.8,Silty,High,Medium,High
66.09,1.81,38.63,74.49,68.87,74.76,Silty,High,High,High
12.88,3.26,38.07,78.21,63.14,75.66,Sandy,High,High,High
54.26,1.54,38.81,77.08,64.56,70.43,Clay,High,High,High
42.85,0.66,23.38,65.13,53.37,50.13,Clay,High,Medium,Medium
11.76,1.11,20.89,43.54,57.38,50.69,Sandy,Medium,High,Medium
21.93,1.76,24.65,60.57,44.43,49.94,Sandy,Medium,Medium,Medium
5.87,1.16,37.69,48.41,43.21,58.86,Sandy,Medium,Medium,High
37.81,0.5,39.39,53.92,44.12,60.04,Peaty,Medium,Medium,High
26.09,3.25,36.91,85.6,60.75,94.32,Clay,High,High,High
46.89,3.03,20.42,99.82,54.18,75.24,Peaty,High,Medium,High
25.81,2.73,38.84,74.87,46.02,73.61,Sandy,High,Medium,High
25.99,1.0,27.31,59.69,54.12,58.83,Clay,Medium,Medium,High
57.02,0.86,18.2,77.37,64.17,60.07,Peaty,High,High,High
8.37,0.7,27.73,51.38,61.1,55.55,Peaty,Medium,High,High
68.2,2.67,19.01,83.61,51.79,73.19,Sandy,High,Medium,High
64.66,3.29,29.97,100.0,69.62,92.13,Clay,High,High,High
51.75,1.79,25.45,79.64,62.77,69.58,Sandy,High,High,High
46.53,0.86,28.42,71.47,56.02,55.16,Clay,High,High,High
67.46,2.04,31.49,80.3,60.45,67.41,Silty,High,High,High
17.97,1.55,37.11,61.18,53.61,66.63,Loamy,Medium,Medium,High
10.53,1.62,32.56,68.48,63.13,71.89,Loamy,High,High,High
21.77,2.36,27.55,78.47,49.74,68.55,Loamy,High,Medium,High
60.62,2.66,36.03,84.19,67.39,91.05,Sandy,High,High,High
7.43,0.83,37.92,50.67,48.98,40.75,Silty,Medium,Medium,Medium
45.8,0.61,20.63,75.18,48.39,69.38,Clay,High,Medium,High
74.68,3.48,29.7,91.76,75.0,95.0,Peaty,High,High,High
64.9,1.2,24.26,72.7,55.9,59.19,Clay,High,High,High
41.5,0.66,19.04,68.54,41.06,43.33,Peaty,High,Medium,Medium
9.45,1.07,32.71,54.39,51.8,65.89,Clay,Medium,Medium,High
63.2,0.62,36.98,57.89,38.38,53.16,Silty,Medium,Medium,Medium
46.93,1.68,21.58,82.46,58.68,61.25,Peaty,High,High,High
13.05,2.91,35.87,74.86,66.44,87.07,Sandy,High,High,High
11.57,1.52,36.77,60.25,50.57,59.03,Clay,Medium,Medium,High
68.67,1.83,38.12,82.45,58.09,74.85,Clay,High,High,High
51.84,2.53,23.84,96.97,55.99,75.48,Peaty,High,High,High
63.05,2.03,37.89,80.23,59.7,52.0,Sandy,High,High,Medium
66.53,3.08,25.05,90.82,65.05,83.25,Sandy,High,High,High
45.02,3.1,30.15,80.91,75.0,75.49,Silty,High,High,High
41.22,0.53,19.11,60.22,52.75,52.51,Sandy,Medium,Medium,Medium
35.13,2.83,18.97,86.6,62.38,80.37,Sandy,High,High,High
27.19,1.88,33.85,57.89,54.48,65.37,Sandy,Medium,Medium,High
35.42,3.47,27.78,100.0,60.13,92.46,Loamy,High,High,High
59.17,1.95,23.64,76.11,68.47,70.07,Silty,High,High,High
47.13,3.46,22.19,100.0,66.17,88.64,Clay,High,High,High
67.48,2.76,32.74,94.55,69.8,82.25,Peaty,High,High,High
36.04,1.25,18.01,79.98,55.32,73.58,Clay,High,High,High
47.5,2.12,35.73,70.16,59.48,76.5,Silty,High,High,High
49.19,3.48,19.74,100.0,74.86,91.54,Peaty,High,High,High
46.42,3.07,22.21,77.87,64.28,84.54,Silty,High,High,High
54.18,0.79,26.5,67.56,54.67,52.85,Sandy,High,Medium,Medium
21.62,2.62,28.67,83.38,63.22,78.49,Peaty,High,High,High
40.87,1.54,25.81,69.09,49.68,64.33,Sandy,High,Medium,High
12.3,0.52,25.06,58.46,45.58,38.74,Clay,Medium,Medium,Medium
31.92,1.71,39.21,69.64,59.89,79.48,Clay,High,High,High
39.14,1.2,32.11,64.98,43.05,69.16,Peaty,Medium,Medium,High
50.66,2.96,18.52,83.87,53.86,78.34,Peaty,High,Medium,High
71.54,1.51,27.46,73.59,60.8,74.88,Silty,High,High,High
47.05,2.98,37.25,85.09,55.29,66.53,Silty,High,High,High
57.05,0.5,24.63,49.88,41.25,52.33,Sandy,Medium,Medium,Medium
40.44,1.42,20.08,75.73,42.36,64.28,Peaty,High,Medium,High
49.39,1.22,34.68,71.98,53.92,66.89,Clay,High,Medium,High
9.97,1.2,31.33,56.71,45.48,54.0,Silty,Medium,Medium,Medium
22.81,0.7,30.55,54.23,41.37,53.72,Silty,Medium,Medium,Medium
30.33,1.06,19.18,66.12,37.34,48.81,Clay,High,Medium,Medium
38.07,2.17,21.09,69.18,51.6,74.93,Silty,High,Medium,High
8.2,1.37,31.7,42.82,39.35,51.49,Sandy,Medium,Medium,Medium
14.8,1.75,22.57,71.49,45.7,71.69,Peaty,High,Medium,High
24.38,1.63,29.09,77.02,61.32,73.73,Clay,High,High,High
73.01,3.13,29.99,91.33,75.0,88.28,Peaty,High,High,High
28.19,3.22,24.24,95.25,49.65,79.15,Silty,High,Medium,High
38.74,1.98,38.87,62.79,70.66,68.81,Silty,Medium,High,High
18.73,1.49,36.53,57.03,52.29,79.26,Clay,Medium,Medium,High
47.75,0.82,33.89,60.84,43.96,46.01,Sandy,Medium,Medium,Medium
24.65,3.36,19.72,86.31,55.57,83.34,Loamy,High,High,High
19.49,0.68,20.33,67.55,45.73,44.34,Clay,High,Medium,Medium
41.16,1.39,28.84,75.31,70.36,67.59,Loamy,High,High,High
5.39,1.39,21.54,68.09,35.35,55.69,Loamy,High,Medium,High
5.54,1.46,39.52,49.06,33.58,52.91,Sandy,Medium,Medium,Medium
20.33,0.99,21.49,66.15,48.86,67.82,Loamy,High,Medium,High
7.57,2.85,28.72,92.08,64.89,73.52,Loamy,High,High,High
12.56,0.87,26.01,42.03,42.53,46.75,Sandy,Medium,Medium,Medium
28.72,2.4,32.07,88.36,65.79,74.47,Loamy,High,High,High
61.18,0.87,20.84,74.48,41.51,59.2,Loamy,High,Medium,High
45.04,0.71,27.47,64.0,42.3,78.21,Loamy,Medium,Medium,High
40.89,3.23,24.04,98.01,67.47,77.98,Clay,High,High,High
25.54,1.07,37.53,70.26,68.74,68.65,Clay,High,High,High
70.22,2.96,18.89,100.0,70.88,95.0,Clay,High,High,High
32.79,2.13,38.1,60.94,62.24,75.95,Sandy,Medium,High,High
11.1,0.73,36.33,43.29,36.84,49.61,Silty,Medium,Medium,Medium
48.19,3.37,24.55,100.0,70.65,82.67,Loamy,High,High,High
12.97,1.24,35.36,62.99,42.91,70.96,Loamy,Medium,Medium,High
29.17,3.08,18.69,90.68,70.72,82.35,Sandy,High,High,High
40.52,1.01,39.27,61.0,47.36,53.12,Loamy,Medium,Medium,Medium
66.2,3.06,29.59,96.19,63.95,90.66,Clay,High,High,High
39.55,0.54,24.67,63.57,31.67,40.66,Silty,Medium,Medium,Medium
54.16,2.04,25.98,71.05,59.32,54.51,Peaty,High,High,Medium
74.5,2.81,19.46,96.29,65.2,78.55,Loamy,High,High,High
14.2,3.3,39.77,95.74,75.0,90.61,Clay,High,High,High
24.23,3.23,18.86,100.0,66.87,87.25,Peaty,High,High,High
32.62,2.96,32.41,85.93,55.45,76.46,Silty,High,High,High
34.53,3.16,27.74,100.0,71.56,95.0,Peaty,High,High,High
33.77,1.1,38.88,65.52,46.38,73.15,Clay,High,Medium,High
68.53,1.35,23.41,69.29,49.07,67.08,Peaty,High,Medium,High
54.98,1.37,29.71,60.59,52.84,59.17,Sandy,Medium,Medium,High
47.55,1.63,28.61,71.67,46.96,71.8,Peaty,High,Medium,High
26.66,1.68,33.46,71.05,64.85,68.72,Loamy,High,High,High
62.67,2.13,19.5,81.61,75.0,67.25,Loamy,High,High,High
71.85,0.98,22.26,65.75,46.32,55.37,Sandy,High,Medium,High
62.48,2.57,22.72,98.28,58.94,89.86,Clay,High,High,High
5.11,1.0,34.24,50.14,48.38,66.77,Loamy,Medium,Medium,High
49.55,1.43,22.16,71.31,45.37,67.66,Silty,High,Medium,High
8.58,2.01,30.62,68.68,57.51,71.96,Loamy,High,High,High
23.03,2.89,22.74,83.36,49.79,91.21,Loamy,High,Medium,High
9.17,2.72,36.96,85.92,66.27,84.49,Clay,High,High,High
47.27,2.44,38.73,72.28,75.0,80.02,Peaty,High,High,High
53.06,0.97,29.41,70.45,37.22,73.81,Loamy,High,Medium,High
13.01,2.14,25.75,49.26,41.39,68.34,Sandy,Medium,Medium,High
31.87,0.76,23.15,53.37,42.75,64.39,Peaty,Medium,Medium,High
36.94,1.63,19.1,76.24,52.95,52.61,Silty,High,Medium,Medium
30.83,1.74,23.91,74.06,62.23,64.57,Clay,High,High,High
13.47,0.62,32.39,42.09,50.05,41.82,Silty,Medium,Medium,Medium
34.33,1.32,29.74,74.18,39.18,64.87,Peaty,High,Medium,High
57.58,3.37,38.77,93.23,67.18,95.0,Peaty,High,High,High
9.97,3.36,26.72,96.56,55.4,76.1,Peaty,High,High,High
10.61,1.56,33.26,64.9,49.38,64.96,Silty,Medium,Medium,High
29.83,0.63,28.77,58.91,47.27,45.95,Peaty,Medium,Medium,Medium
70.92,1.04,29.28,53.49,41.26,75.48,Silty,Medium,Medium,High
51.8,1.68,23.89,72.42,51.66,58.28,Peaty,High,Medium,High
52.51,3.34,28.01,100.0,69.08,89.35,Sandy,High,High,High
30.33,0.92,28.36,57.49,44.02,64.09,Peaty,Medium,Medium,High
46.56,2.79,33.55,99.82,61.1,83.33,Silty,High,High,High
5.71,0.83,38.69,64.58,63.42,50.18,Loamy,Medium,High,Medium
49.53,3.44,25.25,100.0,75.0,83.35,Peaty,High,High,High
68.93,1.64,18.93,83.55,38.79,81.06,Loamy,High,Medium,High
47.88,2.83,28.92,78.87,61.59,84.72,Sandy,High,High,High
66.16,1.53,29.98,79.63,75.0,81.65,Clay,High,High,High
55.68,2.38,21.71,74.19,59.91,79.98,Sandy,High,High,High
13.44,1.08,34.73,57.78,50.43,47.63,Peaty,Medium,Medium,Medium
68.17,0.94,39.67,58.78,68.94,56.25,Loamy,Medium,High,High
9.65,3.31,38.81,82.1,69.02,82.34,Loamy,High,High,High
42.38,3.25,22.34,98.04,67.1,78.58,Silty,High,High,High
14.95,3.16,37.26,80.04,64.66,81.61,Loamy,High,High,High
5.82,2.38,33.5,73.98,56.61,69.8,Silty,High,High,High
