Moisture,pH,EC,N,P,K,Soil_Type,N_Class,P_Class,K_Class,Soil_Temperature
19.51,6.89,1.87,52.08,54.68,45.09,Sandy,Medium,High,Medium,34.75
30.04,6.42,1.7,63.92,36.17,37.25,Silty,Medium,Medium,Medium,27.53
25.75,5.05,1.52,30.16,56.63,18.44,Sandy,Low,High,Low,35.47
66.69,7.47,2.57,48.24,68.45,65.64,Peaty,Medium,High,High,28.07
32.44,7.99,1.69,71.02,14.09,25.96,Clay,High,Low,Low,22.26
25.49,7.16,1.27,20.62,15.09,31.91,Silty,Low,Low,Low,33.22
42.42,7.15,2.08,70.26,68.05,36.11,Clay,High,High,Medium,26.98
55.86,7.8,2.45,67.0,66.9,56.7,Peaty,Medium,High,Medium,26.61
34.92,7.67,2.15,78.35,15.66,68.0,Silty,High,Low,High,31.51
74.15,6.41,2.06,23.14,40.81,54.14,Peaty,Low,Medium,Medium,23.32
27.06,6.05,1.71,51.19,55.29,42.7,Loamy,Medium,High,Medium,25.59
30.58,6.94,1.84,43.82,63.54,50.89,Loamy,Medium,High,Medium,23.64
51.45,7.65,2.66,85.78,52.58,86.95,Peaty,High,High,High,26.04
37.44,6.53,2.08,79.56,30.06,55.65,Loamy,High,Medium,Medium,29.54
36.7,7.03,1.81,37.24,26.68,70.63,Clay,Low,Medium,High,25.09
22.45,5.25,1.69,98.44,17.28,23.37,Sandy,High,Low,Low,27.94
46.39,6.26,2.05,89.51,55.34,25.22,Peaty,High,High,Low,21.28
53.02,7.32,2.18,75.07,22.26,50.3,Clay,High,Low,Medium,25.66
10.34,6.89,1.47,54.36,17.75,42.87,Sandy,Medium,Low,Medium,33.18
12.21,6.26,1.56,37.44,60.75,49.22,Sandy,Low,High,Medium,34.14
17.67,6.43,1.64,25.42,41.45,76.78,Sandy,Low,Medium,High,25.41
31.42,6.0,2.2,95.77,47.06,42.67,Clay,High,Medium,Medium,29.92
22.46,6.09,2.1,89.07,40.56,37.27,Loamy,High,Medium,Medium,30.44
36.36,7.42,2.13,89.38,15.35,65.67,Loamy,High,Low,High,29.34
28.42,7.2,1.15,30.87,44.02,16.74,Loamy,Low,Medium,Low,24.04
24.88,7.66,1.8,44.05,66.33,59.12,Sandy,Medium,High,Medium,32.92
41.97,7.27,2.15,31.13,32.35,89.13,Silty,Low,Medium,High,31.27
57.1,6.82,1.56,20.57,13.76,64.25,Peaty,Low,Low,Medium,20.12
46.36,6.13,2.23,63.43,61.54,63.91,Clay,Medium,High,Medium,25.59
23.52,7.31,1.6,29.52,69.07,34.24,Loamy,Low,High,Low,26.14
54.97,5.12,2.04,71.67,12.32,72.02,Silty,High,Low,High,25.34
20.97,7.2,1.53,74.25,13.11,37.07,Sandy,High,Low,Medium,26.36
24.21,5.39,2.27,68.97,69.29,82.69,Sandy,Medium,High,High,37.01
44.48,7.65,2.29,93.56,34.93,70.85,Loamy,High,Medium,High,31.95
28.83,7.68,1.87,59.72,35.57,37.92,Silty,Medium,Medium,Medium,29.19
58.14,7.57,2.27,93.79,28.2,40.49,Clay,High,Medium,Medium,31.46
14.2,7.23,1.44,31.3,43.53,32.95,Sandy,Low,Medium,Low,30.06
41.29,5.44,1.81,42.74,56.75,54.22,Clay,Medium,High,Medium,29.26
60.29,7.56,2.32,92.61,32.51,35.96,Clay,High,Medium,Medium,30.0
37.63,7.01,1.9,39.8,41.49,55.32,Loamy,Low,Medium,Medium,32.78
27.13,6.43,1.97,93.63,22.28,66.61,Sandy,High,Low,High,36.62
11.52,6.53,1.73,80.56,16.61,76.28,Sandy,High,Low,High,29.41
15.27,7.41,1.92,36.17,65.76,81.34,Sandy,Low,High,High,26.5
21.43,7.48,1.64,42.82,56.92,35.53,Loamy,Medium,High,Medium,28.49
41.15,5.85,2.56,97.27,35.98,81.3,Clay,High,Medium,High,30.37
51.73,5.4,2.21,70.32,23.11,75.51,Peaty,High,Low,High,21.93
37.37,7.15,1.73,23.27,40.97,74.45,Loamy,Low,Medium,High,26.92
43.06,7.51,2.38,78.31,45.85,63.95,Loamy,High,Medium,Medium,31.65
25.83,5.1,2.51,76.11,52.45,87.0,Silty,High,High,High,23.55
34.38,7.82,2.25,81.96,31.1,72.12,Clay,High,Medium,High,30.5
17.51,7.9,1.31,22.53,19.1,37.39,Sandy,Low,Low,Medium,25.57
29.86,7.94,2.48,80.06,42.4,84.88,Silty,High,Medium,High,33.47
19.05,6.14,1.33,22.36,50.06,27.07,Sandy,Low,High,Low,31.09
46.14,7.05,2.15,46.9,69.75,64.41,Clay,Medium,High,Medium,31.8
12.42,6.07,1.69,28.33,63.51,47.82,Sandy,Low,High,Medium,28.89
41.64,6.36,1.39,49.24,26.45,23.77,Loamy,Medium,Medium,Low,24.09
41.41,7.76,2.0,51.97,26.66,68.74,Loamy,Medium,Medium,High,32.48
29.9,7.95,1.97,38.22,45.36,59.07,Silty,Low,Medium,Medium,28.71
33.79,6.56,1.76,81.17,16.36,15.16,Loamy,High,Low,Low,29.69
35.54,6.67,1.54,33.26,52.54,29.29,Silty,Low,High,Low,31.47
46.84,6.4,2.33,41.15,66.62,82.88,Clay,Medium,High,High,22.81
31.2,5.81,1.95,58.74,30.3,73.06,Silty,Medium,Medium,High,24.11
34.86,5.26,2.18,79.35,41.62,59.54,Loamy,High,Medium,Medium,31.4
24.79,5.97,1.8,73.52,57.63,25.13,Loamy,High,High,Low,23.82
34.99,6.99,2.26,36.93,66.58,79.54,Loamy,Low,High,High,24.13
19.18,7.05,1.48,35.69,11.64,56.32,Loamy,Low,Low,Medium,24.97
34.77,6.12,2.05,40.9,30.15,75.12,Clay,Medium,Medium,High,31.09
9.4,6.56,1.59,75.55,24.68,40.39,Sandy,High,Low,Medium,26.84
30.11,6.68,2.08,51.57,60.59,87.3,Silty,Medium,High,High,31.48
38.34,6.02,2.23,74.29,47.97,77.72,Silty,High,Medium,High,24.24
18.29,5.44,1.61,41.78,31.05,75.08,Sandy,Medium,Medium,High,30.88
40.68,7.61,2.2,66.86,14.77,89.28,Loamy,Medium,Low,High,23.37
36.35,6.56,1.73,83.3,12.29,54.62,Silty,High,Low,Medium,25.08
24.04,5.68,2.02,88.15,59.66,41.38,Loamy,High,High,Medium,32.17
34.61,5.5,1.45,28.05,57.83,19.33,Silty,Low,High,Low,31.55
52.61,7.84,2.0,87.29,19.52,46.49,Silty,High,Low,Medium,33.03
37.33,7.03,2.08,67.65,31.24,48.55,Clay,Medium,Medium,Medium,26.09
50.87,6.16,2.26,64.47,10.85,78.57,Peaty,Medium,Low,High,21.83
32.5,6.05,1.52,82.86,15.44,17.75,Silty,High,Low,Low,23.2
30.97,7.9,1.33,25.1,39.11,31.55,Silty,Low,Medium,Low,30.99
55.27,6.18,2.22,72.27,31.44,48.41,Peaty,High,Medium,Medium,20.99
32.84,7.17,2.11,53.31,65.09,38.37,Clay,Medium,High,Medium,24.15
25.69,6.74,1.53,22.46,69.1,16.0,Loamy,Low,High,Low,31.17
31.31,7.25,2.15,57.92,45.25,58.81,Loamy,Medium,Medium,Medium,25.74
24.68,7.15,1.96,42.71,66.48,48.65,Loamy,Medium,High,Medium,30.34
23.71,5.27,2.15,96.16,41.65,59.73,Sandy,High,Medium,Medium,30.03
24.05,5.85,1.67,59.0,33.99,37.22,Sandy,Medium,Medium,Medium,28.19
43.56,7.53,1.93,69.13,15.9,59.59,Peaty,Medium,Low,Medium,23.57
33.98,7.74,1.58,45.31,20.47,43.36,Loamy,Medium,Low,Medium,32.84
46.56,5.3,2.39,61.29,43.47,70.86,Silty,Medium,Medium,High,29.35
10.87,6.0,2.28,98.56,46.24,61.56,Sandy,High,Medium,Medium,35.68
36.43,5.24,1.58,26.5,60.75,43.78,Clay,Low,High,Medium,24.38
63.4,7.39,2.07,88.61,17.47,22.13,Clay,High,Low,Low,31.03
72.62,7.0,2.6,88.7,24.55,65.54,Peaty,High,Low,High,29.25
41.5,7.08,2.39,91.59,55.19,54.02,Loamy,High,High,Medium,25.64
23.04,7.25,1.88,89.5,36.04,41.44,Loamy,High,Medium,Medium,31.96
31.4,7.96,1.43,50.25,32.93,18.83,Clay,Medium,Medium,Low,23.78
8.6,6.02,1.41,85.68,37.53,16.11,Sandy,High,Medium,Low,32.88
54.89,5.66,2.32,74.28,37.5,68.55,Silty,High,Medium,High,27.09
60.34,6.09,1.93,26.4,16.97,81.72,Peaty,Low,Low,High,24.31
24.75,6.96,1.8,90.13,14.78,48.22,Sandy,High,Low,Medium,26.88
38.61,6.25,1.87,54.58,38.87,48.69,Loamy,Medium,Medium,Medium,30.77
44.25,6.47,2.18,92.58,19.57,52.65,Silty,High,Low,Medium,31.91
19.89,5.05,1.72,61.64,24.36,45.34,Sandy,Medium,Low,Medium,37.22
50.65,6.91,2.01,54.59,33.12,65.08,Clay,Medium,Medium,High,28.42
54.55,7.98,1.88,49.52,26.69,56.55,Silty,Medium,Medium,Medium,23.19
52.59,7.11,2.08,79.31,34.77,20.26,Silty,High,Medium,Low,25.98
39.85,5.87,1.7,71.2,40.0,17.7,Silty,High,Medium,Low,32.14
29.84,7.11,2.2,84.27,61.98,46.72,Loamy,High,High,Medium,31.27
19.85,7.79,1.55,76.5,38.54,15.84,Loamy,High,Medium,Low,29.16
70.06,6.85,2.35,51.82,36.84,80.5,Peaty,Medium,Medium,High,28.45
16.85,8.0,1.09,50.38,21.58,18.38,Sandy,Medium,Low,Low,36.14
32.81,6.28,2.19,95.67,53.25,48.71,Clay,High,High,Medium,31.57
40.92,7.03,1.97,44.58,50.17,37.07,Silty,Medium,High,Medium,31.68
53.96,6.48,2.38,63.69,61.92,71.17,Clay,Medium,High,High,25.52
66.06,5.13,1.58,36.74,14.25,28.49,Peaty,Low,Low,Low,27.92
49.35,8.0,1.69,21.85,40.63,50.06,Peaty,Low,Medium,Medium,25.54
59.61,7.36,1.21,22.6,15.04,23.19,Peaty,Low,Low,Low,28.47
24.85,7.99,2.31,79.05,25.04,89.39,Loamy,High,Medium,High,32.1
11.71,7.04,1.07,26.26,45.07,20.0,Sandy,Low,Medium,Low,37.35
45.39,6.23,1.97,43.38,60.04,29.51,Silty,Medium,High,Low,27.45
42.9,6.88,2.13,56.03,60.4,45.16,Loamy,Medium,High,Medium,32.07
60.07,5.89,1.57,56.51,18.34,24.49,Peaty,Medium,Low,Low,23.39
19.07,7.27,1.83,83.39,67.47,27.63,Sandy,High,High,Low,25.1
22.84,7.66,1.53,33.2,40.27,67.37,Sandy,Low,Medium,High,37.16
53.07,5.12,2.27,66.71,53.21,68.61,Peaty,Medium,High,High,24.29
41.83,5.28,1.0,29.85,10.58,16.32,Loamy,Low,Low,Low,32.17
43.05,6.79,2.77,97.98,62.04,65.52,Loamy,High,High,High,24.8
57.52,7.82,2.03,21.69,22.46,85.82,Peaty,Low,Low,High,28.84
72.08,6.84,1.9,32.97,12.36,77.09,Peaty,Low,Low,High,21.89
40.8,5.62,1.98,74.92,38.32,54.85,Clay,High,Medium,Medium,27.7
48.69,5.83,2.13,86.26,61.95,23.03,Silty,High,High,Low,30.9
47.31,5.71,1.62,60.78,40.35,20.15,Peaty,Medium,Medium,Low,25.11
13.91,5.35,0.83,25.48,22.45,22.5,Sandy,Low,Low,Low,29.67
33.23,7.54,1.66,51.63,15.66,48.7,Silty,Medium,Low,Medium,26.45
22.57,5.08,2.01,96.94,18.34,68.81,Sandy,High,Low,High,27.69
33.01,7.05,1.7,55.92,25.08,24.11,Clay,Medium,Medium,Low,26.59
60.76,5.69,2.63,77.5,27.29,78.43,Peaty,High,Medium,High,21.83
33.05,5.98,1.0,30.14,13.04,24.47,Silty,Low,Low,Low,24.61
60.04,6.15,1.97,59.37,37.9,38.6,Clay,Medium,Medium,Medium,27.06
57.88,6.96,2.39,51.45,65.98,57.01,Clay,Medium,High,Medium,26.31
27.45,7.75,1.88,97.72,12.17,60.87,Sandy,High,Low,Medium,34.22
59.54,7.25,1.67,46.3,41.19,29.12,Clay,Medium,Medium,Low,31.63
54.84,6.59,1.58,24.33,35.25,43.5,Clay,Low,Medium,Medium,22.76
36.06,6.79,1.72,29.98,24.31,85.97,Clay,Low,Low,High,24.15
61.49,6.0,1.96,41.74,18.14,77.35,Clay,Medium,Low,High,24.73
30.78,7.4,1.65,37.72,42.8,64.34,Clay,Low,Medium,Medium,24.15
24.18,7.55,2.03,99.94,27.32,48.7,Sandy,High,Medium,Medium,25.36
20.21,5.03,2.29,88.84,61.53,85.06,Loamy,High,High,High,28.51
38.58,6.71,1.58,30.85,51.49,38.55,Clay,Low,High,Medium,31.61
12.44,5.53,1.64,57.12,27.58,44.14,Sandy,Medium,Medium,Medium,27.05
49.2,5.44,1.93,54.95,25.67,41.16,Clay,Medium,Medium,Medium,24.54
52.54,6.9,1.92,25.97,55.88,32.52,Clay,Low,High,Low,28.6
23.33,7.75,1.07,44.15,16.75,22.41,Sandy,Medium,Low,Low,25.59
12.98,5.06,2.26,84.74,60.95,55.25,Sandy,High,High,Medium,31.57
55.74,6.68,2.33,96.57,27.96,65.3,Clay,High,Medium,High,27.27
45.8,7.03,2.19,33.34,59.74,83.43,Silty,Low,High,High,32.34
31.93,5.94,2.42,95.27,53.6,72.57,Silty,High,High,High,32.44
35.49,6.32,1.94,74.7,28.78,52.13,Loamy,High,Medium,Medium,24.84
73.31,5.27,2.12,25.13,61.42,57.28,Peaty,Low,High,Medium,25.81
14.59,7.1,1.37,72.67,23.93,25.48,Sandy,High,Low,Low,26.67
33.1,6.77,2.12,30.34,62.02,65.46,Clay,Low,High,High,23.44
56.35,6.57,1.57,40.39,12.52,36.98,Clay,Medium,Low,Medium,23.65
27.89,7.74,1.88,51.99,21.04,71.09,Sandy,Medium,Low,High,27.69
49.81,7.07,2.3,59.66,20.78,87.33,Silty,Medium,Low,High,23.25
55.98,7.49,2.13,41.84,55.29,75.35,Peaty,Medium,High,High,27.97
40.07,6.79,1.87,76.63,30.75,50.29,Loamy,High,Medium,Medium,24.08
19.17,5.4,1.93,86.36,54.28,17.8,Sandy,High,High,Low,30.2
57.93,6.14,1.66,26.68,59.7,15.27,Peaty,Low,High,Low,23.91
58.52,6.89,2.24,47.26,56.48,54.34,Clay,Medium,High,Medium,27.51
32.52,5.92,1.86,59.23,26.41,49.19,Loamy,Medium,Medium,Medium,31.12
24.31,6.42,2.04,97.75,40.57,39.22,Loamy,High,Medium,Medium,30.87
61.42,7.21,2.54,94.65,19.12,71.75,Clay,High,Low,High,30.56
36.0,6.43,1.15,29.57,34.7,15.46,Silty,Low,Medium,Low,32.46
30.25,7.85,1.81,39.57,61.2,42.78,Silty,Low,High,Medium,24.0
20.11,5.77,1.02,24.45,19.13,26.92,Loamy,Low,Low,Low,26.05
25.89,6.73,1.63,73.11,44.45,17.21,Loamy,High,Medium,Low,28.46
26.71,6.27,1.42,70.66,11.87,24.86,Sandy,High,Low,Low,25.24
54.12,5.44,1.85,87.51,21.15,25.26,Peaty,High,Low,Low,25.13
20.57,7.73,1.67,73.44,40.6,47.34,Loamy,High,Medium,Medium,23.2
41.11,6.87,1.57,35.51,21.35,41.26,Loamy,Low,Low,Medium,29.61
48.62,6.58,2.31,79.19,54.69,71.66,Silty,High,High,High,24.22
25.27,7.87,1.7,23.62,47.1,78.46,Loamy,Low,Medium,High,25.07
18.98,7.08,1.73,33.17,32.56,84.19,Loamy,Low,Medium,High,30.28
51.3,5.44,2.13,65.8,44.53,59.73,Clay,Medium,Medium,Medium,29.96
55.43,5.36,2.66,66.35,63.88,87.6,Peaty,Medium,High,High,23.2
34.81,5.19,1.43,50.93,17.78,20.97,Clay,Medium,Low,Low,22.22
54.96,7.75,1.95,61.08,18.17,51.73,Peaty,Medium,Low,Medium,20.97
38.3,6.02,1.93,36.5,32.71,70.12,Clay,Low,Medium,High,24.27
56.69,7.06,2.32,79.05,48.16,29.61,Peaty,High,Medium,Low,26.89
25.83,7.81,1.72,25.44,35.29,81.0,Sandy,Low,Medium,High,33.7
15.05,5.41,2.1,78.95,66.93,70.12,Sandy,High,High,High,25.47
13.36,7.6,1.34,37.95,54.07,38.26,Sandy,Low,High,Medium,27.72
48.42,7.85,2.25,77.0,22.65,64.89,Clay,High,Low,Medium,31.0
10.51,5.23,2.18,73.19,60.27,84.31,Sandy,High,High,High,29.53
46.86,6.29,1.95,44.4,49.17,32.25,Clay,Medium,Medium,Low,24.82
38.59,5.76,2.15,78.37,19.44,66.93,Clay,High,Low,High,23.74
25.2,5.15,1.38,51.33,25.67,43.5,Sandy,Medium,Medium,Medium,37.9
9.08,5.17,2.06,74.13,59.85,84.04,Sandy,High,High,High,28.37
33.46,5.67,2.12,79.07,34.79,47.83,Silty,High,Medium,Medium,23.67
35.49,6.64,2.32,78.5,41.36,82.73,Clay,High,Medium,High,29.9
50.87,7.41,2.18,86.82,53.24,25.22,Peaty,High,High,Low,29.42
37.01,7.52,2.1,95.66,42.71,38.71,Loamy,High,Medium,Medium,29.56
50.85,5.51,1.81,25.03,22.1,55.2,Silty,Low,Low,Medium,24.42
64.88,7.87,2.65,28.15,64.69,89.08,Clay,Low,High,High,30.86
21.6,6.4,1.04,54.33,16.11,15.85,Loamy,Medium,Low,Low,32.98
54.51,6.02,1.77,66.97,14.05,34.49,Peaty,Medium,Low,Low,24.04
55.41,6.35,2.21,55.38,58.93,29.69,Peaty,Medium,High,Low,24.7
19.86,7.81,1.78,27.2,58.55,60.98,Sandy,Low,High,Medium,36.19
9.02,7.41,1.93,32.01,50.5,83.29,Sandy,Low,High,High,26.76
33.75,6.96,2.1,73.83,29.39,89.01,Clay,High,Medium,High,31.13
33.52,7.01,1.59,44.76,34.41,34.19,Silty,Medium,Medium,Low,33.45
14.72,5.33,1.63,46.09,63.69,40.04,Sandy,Medium,High,Medium,26.71
36.14,6.57,2.79,98.96,67.62,75.24,Loamy,High,High,High,29.51
27.74,7.91,1.31,26.25,58.35,18.57,Silty,Low,High,Low,24.08
49.73,7.68,2.5,71.34,63.53,80.01,Silty,High,High,High,27.3
35.22,7.69,1.92,58.65,59.47,16.28,Loamy,Medium,High,Low,25.77
40.97,7.13,1.83,85.54,17.46,46.08,Clay,High,Low,Medium,23.52
32.25,7.69,2.36,87.69,44.36,83.34,Clay,High,Medium,High,24.15
47.66,7.81,1.92,45.9,17.66,54.24,Peaty,Medium,Low,Medium,22.43
25.25,7.73,1.67,31.68,41.19,69.85,Sandy,Low,Medium,High,32.14
45.93,6.84,1.37,32.68,11.47,22.11,Clay,Low,Low,Low,26.71
37.69,7.31,1.96,33.93,53.29,81.99,Clay,Low,High,High,25.46
18.6,6.19,1.84,76.42,51.88,40.35,Sandy,High,High,Medium,31.8
64.84,5.7,2.55,79.37,56.45,36.07,Clay,High,High,Medium,25.04
35.97,5.39,2.4,43.24,65.6,87.91,Loamy,Medium,High,High,27.83
47.73,5.41,1.82,67.33,46.65,31.37,Clay,Medium,Medium,Low,24.24
34.38,7.99,1.67,61.42,34.75,30.56,Clay,Medium,Medium,Low,27.11
64.97,6.13,2.7,64.76,66.68,60.3,Clay,Medium,High,Medium,28.92
36.8,6.7,1.74,25.4,35.74,46.59,Loamy,Low,Medium,Medium,30.59
38.96,7.1,2.01,55.17,65.82,27.14,Loamy,Medium,High,Low,30.05
36.58,5.57,1.84,23.82,57.09,76.31,Loamy,Low,High,High,25.82
17.33,6.57,1.85,62.32,35.44,84.05,Sandy,Medium,Medium,High,33.31
17.34,7.28,1.97,84.89,29.44,72.6,Sandy,High,Medium,High,32.86
52.23,7.43,1.75,53.24,15.46,41.37,Silty,Medium,Low,Medium,23.45
19.72,7.95,2.12,87.97,22.21,85.97,Loamy,High,Low,High,25.48
54.36,5.87,2.3,52.0,63.74,39.78,Clay,Medium,High,Medium,30.29
54.52,5.16,2.33,81.14,38.74,46.89,Peaty,High,Medium,Medium,24.83
43.49,6.39,1.95,41.03,56.66,55.72,Silty,Medium,High,Medium,33.34
15.7,7.16,2.24,85.16,31.08,89.09,Sandy,High,Medium,High,36.24
40.44,6.29,1.84,20.36,36.73,70.8,Peaty,Low,Medium,High,21.55
26.59,6.75,1.8,50.21,57.26,49.69,Sandy,Medium,High,Medium,36.78
37.93,7.03,2.42,69.16,69.35,64.53,Silty,Medium,High,Medium,30.0
40.52,6.22,2.17,75.8,67.36,32.99,Loamy,High,High,Low,24.48
46.26,6.95,1.66,31.28,46.87,51.69,Clay,Low,Medium,Medium,28.89
50.91,6.83,1.7,27.41,39.48,30.18,Clay,Low,Medium,Low,30.66
9.68,6.52,1.44,53.34,27.15,64.14,Sandy,Medium,Medium,Medium,27.41
31.69,5.67,1.68,46.01,20.4,45.15,Silty,Medium,Low,Medium,24.96
36.67,6.2,2.14,29.39,60.76,75.6,Loamy,Low,High,High,29.93
12.41,5.32,1.29,25.9,21.28,44.67,Sandy,Low,Low,Medium,27.93
56.52,7.57,1.93,37.26,12.05,64.37,Peaty,Low,Low,Medium,26.73
34.93,6.89,1.83,83.54,29.21,30.83,Loamy,High,Medium,Low,23.73
27.71,6.52,2.57,95.69,58.67,86.11,Sandy,High,High,High,31.32
50.65,7.49,2.51,88.94,61.24,68.54,Clay,High,High,High,30.85
58.63,7.03,2.46,23.51,66.0,78.46,Peaty,Low,High,High,20.71
21.14,7.08,1.25,21.63,31.51,56.76,Sandy,Low,Medium,Medium,29.74
22.6,5.91,1.03,34.61,12.91,20.26,Sandy,Low,Low,Low,31.84
21.88,7.97,1.48,26.94,50.64,37.93,Sandy,Low,High,Medium,25.21
17.77,6.7,1.49,66.87,11.05,43.27,Sandy,Medium,Low,Medium,28.82
68.77,7.17,2.07,94.57,23.43,26.72,Peaty,High,Low,Low,21.37
60.51,6.88,2.26,75.76,17.82,87.95,Clay,High,Low,High,22.2
32.76,7.69,1.81,68.41,48.98,31.28,Silty,Medium,Medium,Low,26.37
57.23,6.5,1.92,31.65,41.25,69.68,Clay,Low,Medium,High,23.24
21.45,7.87,0.8,22.36,17.91,17.05,Sandy,Low,Low,Low,31.8
45.13,5.85,2.27,56.5,55.61,52.26,Clay,Medium,High,Medium,26.25
62.71,7.64,1.54,44.07,11.04,16.57,Clay,Medium,Low,Low,22.4
27.24,6.97,1.86,88.64,48.17,15.46,Loamy,High,Medium,Low,27.47
68.0,6.24,1.81,55.14,28.23,32.22,Peaty,Medium,Medium,Low,28.9
27.85,7.64,1.63,30.06,57.31,25.36,Sandy,Low,High,Low,35.6
28.44,7.12,2.24,96.1,39.83,51.79,Silty,High,Medium,Medium,30.92
42.85,5.95,1.94,99.67,19.7,28.05,Clay,High,Low,Low,31.74
48.13,5.81,1.94,37.19,56.06,40.68,Silty,Low,High,Medium,27.4
36.97,5.76,2.1,91.21,43.9,52.22,Silty,High,Medium,Medium,28.12
62.32,7.84,1.92,23.55,17.0,80.8,Peaty,Low,Low,High,29.28
55.07,6.51,2.61,94.15,25.12,68.32,Clay,High,Medium,High,22.57
39.14,6.26,2.01,44.12,29.61,89.25,Loamy,Medium,Medium,High,31.17
44.52,6.03,2.15,67.85,56.59,29.32,Silty,Medium,High,Low,24.29
39.31,6.83,2.29,64.89,68.53,57.92,Loamy,Medium,High,Medium,28.14
40.85,7.92,1.94,77.17,40.15,31.06,Clay,High,Medium,Low,29.9
27.49,7.02,1.72,21.97,37.91,77.08,Sandy,Low,Medium,High,28.85
41.25,6.73,2.07,60.35,39.18,66.11,Loamy,Medium,Medium,High,27.64
15.38,5.33,1.43,78.99,41.18,16.66,Sandy,High,Medium,Low,34.41
37.38,5.86,1.92,75.61,30.99,58.94,Silty,High,Medium,Medium,25.69
16.9,7.02,1.59,42.65,54.12,27.14,Sandy,Medium,High,Low,25.98
29.41,5.98,1.67,43.64,42.97,48.92,Loamy,Medium,Medium,Medium,26.08
31.2,5.03,2.23,70.07,23.93,79.03,Silty,High,Low,High,24.37
33.6,5.22,2.0,53.3,55.84,76.95,Clay,Medium,High,High,25.72
55.15,7.73,2.41,65.53,43.77,87.51,Peaty,Medium,Medium,High,24.99
41.86,5.37,2.45,92.95,66.99,55.6,Clay,High,High,Medium,30.4
29.55,6.31,2.07,81.58,44.05,46.17,Loamy,High,Medium,Medium,23.61
24.44,5.83,1.54,21.28,25.35,60.85,Loamy,Low,Medium,Medium,23.97
20.29,6.27,2.01,21.59,69.57,88.83,Loamy,Low,High,High,30.38
30.4,5.97,1.31,34.21,17.63,53.23,Loamy,Low,Low,Medium,25.01
14.84,7.98,0.99,25.03,12.91,33.89,Sandy,Low,Low,Low,34.59
36.55,5.52,1.96,62.37,33.72,76.31,Loamy,Medium,Medium,High,31.69
